loggedDate,amount
Sep 28 2025,10
Sep 28 2025,5
Sep 29 2025,10
Sep 29 2025,5
Sep 29 2025,10
Sep 29 2025,5
Sep 30 2025,10
Sep 30 2025,5
Sep 30 2025,10
Sep 30 2025,5
Sep 30 2025,10
Sep 30 2025,5
Sep 30 2025,10
Sep 30 2025,5
Sep 30 2025,10
Sep 30 2025,5
Sep 30 2025,10
Sep 30 2025,5
Sep 30 2025,10
Sep 30 2025,5
Sep 30 2025,10
Sep 30 2025,5
Sep 30 2025,10
Sep 30 2025,5
Sep 30 2025,10
Sep 30 2025,5
Sep 30 2025,10
Sep 30 2025,5
Sep 30 2025,10
Sep 30 2025,5
Sep 30 2025,10
Sep 30 2025,5
Sep 30 2025,10
Sep 30 2025,5
Sep 30 2025,10
Sep 30 2025,5
Sep 30 2025,10
Sep 30 2025,5
Sep 30 2025,10
Sep 30 2025,5
Sep 30 2025,10
Sep 30 2025,5
Sep 30 2025,10
Sep 30 2025,5
Sep 30 2025,10
Sep 30 2025,5
Sep 30 2025,10
Sep 30 2025,5
Sep 30 2025,10
Sep 30 2025,5
Sep 30 2025,10
Sep 30 2025,5
Sep 30 2025,10
Sep 30 2025,5
Sep 30 2025,10
Sep 30 2025,5
Oct 01 2025,10
Oct 01 2025,5
Oct 01 2025,10
Oct 01 2025,5
Oct 01 2025,10
Oct 01 2025,5
Oct 02 2025,5
Oct 02 2025,100
